Rank,Major,Early Career Pay,Mid-Career Pay,High Meaning Pay
449,Public Relations & Communication,"$43,600","$78,400",46%
452,Foreign Languages,"$47,800","$78,300",57%
452,Interior Architecture,"$45,100","$78,300",47%
452,Marine Science,"$44,000","$78,300",58%
452,Public Management,"$47,800","$78,300",60%
452,Web Development,"$54,100","$78,300",53%
457,Journalism,"$43,500","$78,200",45%
457,Landscape Architecture,"$49,000","$78,200",67%
457,Environmental Geography,"$47,100","$78,200",52%
460,Bachelor of Science in Nursing,"$60,700","$78,100",83%
461,Digital Media,"$44,500","$78,000",39%
461,Welding Technology,"$46,100","$78,000",-
463,Nutrition Science,"$45,900","$77,800",67%
464,Accounting & Business,"$49,400","$77,600",49%
464,Diagnostic Medical Sonography,"$62,200","$77,600",85%
466,American History (United States),"$47,800","$77,500",55%
466,Strategic Communication,"$44,600","$77,500",42%
468,Public Relations (PR),"$43,000","$77,400",43%
469,Natural Sciences,"$41,700","$77,300",51%
470,International Affairs,"$49,100","$77,200",53%
470,Drama,"$43,900","$77,200",46%
470,Network Administration,"$46,900","$77,200",55%
473,Media Studies,"$48,300","$77,100",36%
474,Organizational Development,"$51,600","$77,000",52%
474,Writing,"$41,800","$77,000",43%
476,Integrated Marketing Communications,"$44,600","$76,900",34%
477,Crisis & Emergency Management,"$46,600","$76,800",77%
477,Organizational Communication,"$44,000","$76,800",49%
477,Retailing,"$48,900","$76,800",27%
477,Speech Communication,"$43,900","$76,800",55%
481,Allied Health,"$41,800","$76,700",79%
481,Environmental Biology,"$43,000","$76,700",66%
481,Nuclear Medicine Technology,"$58,900","$76,700",81%
484,Apparel & Textile Manufacture,"$45,700","$76,600",36%
485,Technology Management,"$53,900","$76,500",45%
486,Film Production,"$42,700","$76,400",32%
486,Security Management,"$44,800","$76,400",-
488,Acting,"$42,200","$76,200",48%
488,Broadcast & Cinematic Arts,"$41,900","$76,200",41%
488,Business Management & Administration,"$48,600","$76,200",53%
488,Marine Biology,"$40,800","$76,200",61%
488,Professional Studies,"$42,100","$76,200",64%
488,Romance Languages,"$50,300","$76,200",54%
494,Computer Animation,"$44,500","$76,100",31%
495,Cytotechnology,"$58,100","$76,000",90%
495,Broadcast Journalism,"$41,100","$76,000",49%
495,Geography,"$46,900","$76,000",52%
498,Journalism & Electronic Media,"$42,100","$75,900",50%
499,Automotive Technology,"$45,800","$75,800",46%
499,Interpersonal Communications,"$43,100","$75,800",48%
501,Law & Society,"$44,400","$75,700",50%
502,Agricultural Business,"$50,300","$75,600",50%
502,Ancient History,"$43,900","$75,600",-
504,Computer Aided Design (CAD),"$46,500","$75,500",-
504,Computer Art,"$41,200","$75,500",30%
506,Administration,"$43,100","$75,400",56%
506,Forestry,"$44,700","$75,400",66%
508,Urban Studies,"$48,600","$75,300",56%
509,Business Law,"$51,100","$75,100",44%
510,Radio/Television & Film Production,"$42,800","$75,000",39%
511,Digital Design,"$48,200","$74,800",38%
511,Forensic Science,"$43,800","$74,800",62%
511,Geosciences,"$46,600","$74,800",63%
511,Logistics Management,"$52,800","$74,800",47%
515,Ecology,"$43,500","$74,700",53%
515,English & History,"$43,600","$74,700",48%
515,English Language & Literature,"$43,900","$74,700",44%
518,American Sign Language Interpreting,"$42,500","$74,600",85%
518,Homeland Security,"$46,800","$74,600",71%
518,Zoology,"$40,300","$74,600",67%
521,English Language,"$42,100","$74,500",47%
522,Human Resources Management (HRM),"$45,300","$74,400",55%
523,Technical Writing,"$52,000","$74,300",45%
523,Automotive Technology & Service Management,"$45,400","$74,300",36%
525,Business Technology,"$49,800","$74,100",45%
525,Mass Communication,"$42,700","$74,100",44%
527,Health Sciences,"$42,400","$74,000",70%
527,Organizational Leadership,"$47,400","$74,000",56%
529,Musicology,"$38,100","$73,900",-
530,Spanish Language,"$44,900","$73,600",53%
531,Historic Preservation,"$41,300","$73,500",52%
531,Music Technology,"$42,900","$73,500",38%
531,Organizational Leadership & Supervision,"$46,400","$73,500",50%
534,Human Nutrition,"$45,500","$73,400",84%
534,Spanish Language Teacher Education,"$43,900","$73,400",-
536,Botany,"$40,300","$73,300",72%
537,Apparel Merchandising,"$45,400","$73,200",35%
538,Environmental Health Science,"$51,400","$73,100",64%
538,Media & Technology,"$41,400","$73,100",48%
538,Public Administration,"$44,200","$73,100",58%
541,Liberal Arts,"$42,500","$73,000",53%
541,Merchandising,"$50,500","$73,000",30%
543,Environmental Resource Management,"$45,700","$72,900",62%
544,Computer Aided Drafting & Design (CADD),"$46,800","$72,800",54%
544,Forestry Management,"$44,300","$72,800",73%
546,German Language & Literature,"$46,100","$72,700",48%
546,Electronics & Computer Technology,"$51,700","$72,700",-
548,Administrative Management,"$50,100","$72,600",50%
548,Cardiopulmonary Science,"$45,800","$72,600",89%
550,3D Animation,"$49,400","$72,500",44%
551,Ethnic Studies,"$44,900","$72,300",62%
552,Adult Education & Training,"$46,200","$72,200",79%
552,Health Administration,"$40,700","$72,200",69%
554,Agricultural Communication,"$42,600","$72,100",51%
554,Organizational Management,"$46,900","$72,100",57%
556,Multimedia,"$42,800","$72,000",42%
557,Communication Design,"$48,700","$71,900",34%
558,Radiologic Science,"$54,900","$71,800",81%
559,Exercise Physiology,"$41,600","$71,700",78%
560,Criminal Justice Administration,"$43,700","$71,600",55%
561,Natural Resource Management,"$43,800","$71,500",60%
562,Diagnostic Medical Imaging,"$57,900","$71,400",74%
562,Earth Science,"$48,200","$71,400",50%
